Latitude,Longitude,Unnamed: 2,FECHA_FOSA,TIPO_FOSA,FECHA_INTERVENCION,TIPO_INTERVENCION,ComAutonom,NUMERO_REGISTRO,ENTIDAD_INFORMANTE,Municipio,ESTADO_ACTUAL,NUMERO_PERSONAS_EXHUMADAS,NUMERO_PERSONAS_FOSA,ENTIDAD_PROMOTORA,OBSERVACIONES,NUMERO_PERSONAS_IDENTIFICADAS,Provincia,name,URL
36.71985491014416,-4.428348541259767,,,,,,,,,,,,,,,,,,
43.0842746999999,-5.8353837,,,FUSILAMIENTO,,,Principado de Asturias,139/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Lena,NO INTERVENIDA,23.0,2.0,,,2.0,Asturias," 2 Fosas en Parasimón (Nacional 630, Km 84,50)","https://15mpedia.org/wiki/2_Fosas_en_Parasim%C3%B3n_(Nacional_630,_Km_84,50)_(139/2009_ASTU)"
43.1497019,-5.6878736,,,FUSILAMIENTO,,,Principado de Asturias,16/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Aller,NO INTERVENIDA,2.0,2.0,,,2.0,Asturias," Les Escudielles, AS-253, km 13","https://15mpedia.org/wiki/Les_Escudielles,_AS-253,_km_13_(16/2009_ASTU)"
40.1327101,-0.6257463,,,,,,Aragón,2592/2015 TERU,Sociedad de Ciencias Aranzadi,Olba,EXHUMADA TOTAL,4.0,,Asociación por la Recuperación de los Desaparecidos en el Franquismo,Cuatro fosas de soldados republicanos,0.0,Teruel,'El Volaje' Barranco El Santo,
43.4875717,-6.111489,,,FUSILAMIENTO,,,Principado de Asturias,219/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Pravia,NO INTERVENIDA,1.0,2.0,,,,Asturias,"""""""La Canalona (Carretera de Agones a Villafría)""",https://15mpedia.org/wiki/%22La_Canalona_(Carretera_de_Agones_a_Villafr%C3%ADa)_(219/2009_ASTU)
43.4875717,-6.111489,,,REPRESALIA EN RETAGUARDIA,,,Principado de Asturias,220/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Pravia,NO INTERVENIDA,,6.0,,,,Asturias,"""""""La Canterona"""" (Carretera AS-225, Km 27)""","https://15mpedia.org/wiki/%22La_Canterona%22_(Carretera_AS-225,_Km_27)_(220/2009_ASTU)"
43.3870548,-6.074386,,,REPRESALIA EN RETAGUARDIA,,,Principado de Asturias,90/2009 ASTU,Principado de Asturias. Consejería de Bienestar Social y Vivienda.,Grado,NO INTERVENIDA,,12.0,,,,Asturias,"""""""La Dosal de Momalo"""" (Momalo)""",https://15mpedia.org/wiki/%22La_Dosal_de_Momalo%22_(Momalo)_(90/2009_ASTU)
42.4956027,-0.1201874,,13558,REPRESALIA EN RETAGUARDIA,,,Aragón,745/2009 HUES,"Gobierno de Aragón. Consejería de Educación, Cultura y Deporte",Fiscal,NO INTERVENIDA,3.0,3.0,,"El motivo no está claro, podría ser el carácter desafiante del cabeza de familia o un enfrentamiento de tipo pasional entre un miembro de la familia y un oficial del ejército republicano.",,Huesca,"""Cementerio de Fiscal, tres miembros de la """"Casa Coma""""""","https://15mpedia.org/wiki/Cementerio_de_Fiscal,_tres_miembros_de_la_%22Casa_Coma%22_(745/2009_HUES)"
39.962884,-4.83045359999999,,,REPRESALIA EN RETAGUARDIA,,,Castilla-La Mancha,539/2009 TOLE,Foro por la Memoria,Talavera de la Reina,NO INTERVENIDA,12.0,2.0,,"Termino municipal de Talavera de la Reina, en la actualidad en la Entidad Local Menor de El Casar de Talavera, cerca del lugar llamado S. Cristóbal en la carretera C-502.",,Toledo,"""El Casar de Talavera (llamado también """"El Casar del Ciego"""")""",https://15mpedia.org/wiki/El_Casar_de_Talavera_(llamado_tambi%C3%A9n_%22El_Casar_del_Ciego%22)_(539/2009_TOLE)
39.9768943,-4.97389679999999,,,REPRESALIA EN RETAGUARDIA,,,Castilla-La Mancha,537/2009 TOLE,Foro por la Memoria,Velada,NO INTERVENIDA,3.0,3.0,,"Situada entre los kilómetros 92/93 de la carretera C-502, a la altura del cruce con la carretera a Parrillas/Navalcán, a excasos metros de dicho cruce, junto a una encina.",,Toledo,"""Finca  """"El Toril"""" en la localidad de Velada (Toledo), carretera C-502""","https://15mpedia.org/wiki/Finca_%22El_Toril%22_en_la_localidad_de_Velada_(Toledo),_carretera_C-502_(537/2009_TOLE)"
